"Timestamp","Tree","Station","VPD","Vapor.Pressure","Atmos.Pressure","Air.TempC","Wetness.Level.1","Wetness.Level.2","Solar"
"2024-05-10T04:15:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T04:30:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T04:45:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T05:00:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T05:15:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T05:30:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T05:45:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T06:00:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T06:15:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T06:30:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T06:45:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T07:00:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T07:15:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T07:30:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T07:45:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T08:00:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T08:15:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T08:30:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T08:45:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T09:00:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T09:15:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T09:30:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T09:45:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T10:00:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T10:15:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T10:30:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T10:45:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T11:00:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T11:15:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T11:30:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T11:45:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T12:00:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T12:15:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T12:30:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T12:45:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T13:00:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T13:15:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T13:30:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T13:45:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T14:00:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T14:15:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T14:30:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T14:45:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T15:00:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
"2024-05-10T15:15:00Z","SL","GR",NA,NA,NA,NA,NA,NA,0
